Retailer	Regions	Chest	Waist	Hips	SizeLetter	SizeNumber
BananaRepublic	UK	81	64		XS	4
BananaRepublic	UK	84	66		XS	6
BananaRepublic	UK	86	69		S	8
BananaRepublic	UK	89	71		S	10
BananaRepublic	UK	91	74		M	12
BananaRepublic	UK	94	76		M	14
BananaRepublic	UK	98	80		L	16
BananaRepublic	UK	102	84		L	18
BananaRepublic	UK	105	88		XL	20
BananaRepublic	Europe	81	64		XS	32
BananaRepublic	Europe	84	66		XS	34
BananaRepublic	Europe	86	69		S	36
BananaRepublic	Europe	89	71		S	38
BananaRepublic	Europe	91	74		M	40
BananaRepublic	Europe	94	76		M	42
BananaRepublic	Europe	98	80		L	44
BananaRepublic	Europe	102	84		L	46
BananaRepublic	Europe	105	88		XL	48
BananaRepublic	US	81	64		XS	0
BananaRepublic	US	84	66		XS	2
BananaRepublic	US	86	69		S	4
BananaRepublic	US	89	71		S	6
BananaRepublic	US	91	74		M	8
BananaRepublic	US	94	76		M	10
BananaRepublic	US	98	80		L	12
BananaRepublic	US	102	84		L	14
BananaRepublic	US	105	88		XL	16
