sizeid	brand	region	chest	underbust	size
-420	ff	europe	83.82	69.85	70a
-360	ff	europe	86.36	69.85	70b
-340	ff	europe	86.36	74.93	75a
-280	ff	europe	88.90	69.85	70c
-260	ff	europe	88.90	74.93	75b
-240	ff	europe	88.90	80.01	80a
-200	ff	europe	91.44	69.85	70d
-180	ff	europe	91.44	74.93	75c
-160	ff	europe	91.44	80.01	80b
-140	ff	europe	91.44	85.09	85a
-100	ff	europe	93.98	69.85	70dd
-80	ff	europe	93.98	74.93	75d
-60	ff	europe	93.98	80.01	80c
-40	ff	europe	93.98	85.09	85b
0	ff	europe	96.52	69.85	70e
20	ff	europe	96.52	74.93	75dd
40	ff	europe	96.52	80.01	80d
60	ff	europe	96.52	85.09	85c
100	ff	europe	99.06	69.85	70f
120	ff	europe	99.06	74.93	75e
140	ff	europe	99.06	80.01	80dd
160	ff	europe	99.06	85.09	85d
200	ff	europe	101.60	69.85	70g
220	ff	europe	101.60	74.93	75f
240	ff	europe	101.60	80.01	80e
260	ff	europe	101.60	85.09	85dd
300	ff	europe	104.14	74.93	75g
320	ff	europe	104.14	80.01	80f
340	ff	europe	104.14	85.09	85e
380	ff	europe	106.68	80.01	80g
400	ff	europe	106.68	85.09	85f
440	ff	europe	109.22	85.09	85g
-420	ff	australia	83.82	69.85	10a
-360	ff	australia	86.36	69.85	10b
-340	ff	australia	86.36	74.93	12a
-280	ff	australia	88.90	69.85	10c
-260	ff	australia	88.90	74.93	12b
-240	ff	australia	88.90	80.01	14a
-200	ff	australia	91.44	69.85	10d
-180	ff	australia	91.44	74.93	12c
-160	ff	australia	91.44	80.01	14b
-140	ff	australia	91.44	85.09	16a
-100	ff	australia	93.98	69.85	10dd
-80	ff	australia	93.98	74.93	12d
-60	ff	australia	93.98	80.01	14c
-40	ff	australia	93.98	85.09	16b
0	ff	australia	96.52	69.85	10e
20	ff	australia	96.52	74.93	12dd
40	ff	australia	96.52	80.01	14d
60	ff	australia	96.52	85.09	16c
100	ff	australia	99.06	69.85	10f
120	ff	australia	99.06	74.93	12e
140	ff	australia	99.06	80.01	14dd
160	ff	australia	99.06	85.09	16d
200	ff	australia	101.60	69.85	10g
220	ff	australia	101.60	74.93	12f
240	ff	australia	101.60	80.01	14e
260	ff	australia	101.60	85.09	16dd
300	ff	australia	104.14	74.93	12g
320	ff	australia	104.14	80.01	14f
340	ff	australia	104.14	85.09	16e
380	ff	australia	106.68	80.01	14g
400	ff	australia	106.68	85.09	16f
440	ff	australia	109.22	85.09	16g
-420	ff	us	83.82	69.85	32aa
-360	ff	us	86.36	69.85	32a
