sizeid	brand	region	gender	chest	waist	hips	size
-40	abercrombieandfitch	AA	female	0.8250			XS
-20	abercrombieandfitch	AA	female	0.8750			S
0	abercrombieandfitch	AA	female	0.9250			M
20	abercrombieandfitch	AA	female	0.9650			L
-40	abercrombieandfitch	CN	female	0.8250			170-80Y,170-84Y/XS
-20	abercrombieandfitch	CN	female	0.8750			170-84Y,170-88Y/S
0	abercrombieandfitch	CN	female	0.9250			170-92Y/M
20	abercrombieandfitch	CN	female	0.9650			170-96Y/L
-40	abercrombieandfitch	XA	female	0.8250			34-36/XS
-20	abercrombieandfitch	XA	female	0.8750			36-38/S
0	abercrombieandfitch	XA	female	0.9250			38-40/M
20	abercrombieandfitch	XA	female	0.9650			40/L
-40	abercrombieandfitch	JP	female	0.8250			7/XS
-20	abercrombieandfitch	JP	female	0.8750			9/S
0	abercrombieandfitch	JP	female	0.9250			11/M
20	abercrombieandfitch	JP	female	0.9650			13/L
-40	abercrombieandfitch	IT	female	0.8250			40/XS
-20	abercrombieandfitch	IT	female	0.8750			42/S
0	abercrombieandfitch	IT	female	0.9250			44/M
20	abercrombieandfitch	IT	female	0.9650			46/L
-40	abercrombieandfitch	US	female	0.8250			00-0/XS
-20	abercrombieandfitch	US	female	0.8750			2-4/S
0	abercrombieandfitch	US	female	0.9250			6-8/M
20	abercrombieandfitch	US	female	0.9650			10/L
-40	abercrombieandfitch	KR	female	0.8250			44/XS
-20	abercrombieandfitch	KR	female	0.8750			55/S
0	abercrombieandfitch	KR	female	0.9250			66/M
20	abercrombieandfitch	KR	female	0.9650			77/L
-40	abercrombieandfitch	GB	female	0.8250			8/XS
-20	abercrombieandfitch	GB	female	0.8750			10/S
0	abercrombieandfitch	GB	female	0.9250			12/M
20	abercrombieandfitch	GB	female	0.9650			14/L
-60	adidas	AA	female	0.7874	0.6350	0.8890	XS
-40	adidas	AA	female	0.8636	0.6985	0.9525	S
-20	adidas	AA	female	0.9271	0.7620	1.0160	M
0	adidas	AA	female	0.9906	0.8382	1.0795	L
20	adidas	AA	female	1.0668	0.9144	1.1430	XL
40	adidas	AA	female	1.1430	1.0033	1.2192	2XL
-60	adidas	FR	female	0.7874	0.6350	0.8890	32,34/XS
-40	adidas	FR	female	0.8636	0.6985	0.9525	36,38/S
-20	adidas	FR	female	0.9271	0.7620	1.0160	40,42/M
0	adidas	FR	female	0.9906	0.8382	1.0795	44,46/L
