sizeid	brand	region	gender	head	size
-20	bananarepublic	canada	female	56	s,m
0	bananarepublic	canada	female	60	l,xl
-20	bananarepublic	europe	female	56	s,m
0	bananarepublic	europe	female	60	l,xl
-20	bananarepublic	us	female	56	s,m
0	bananarepublic	us	female	60	l,xl
-20	bananarepublic	uk	female	56	s,m
0	bananarepublic	uk	female	60	l,xl
-20	bananarepublic	canada	male	57	s,m
0	bananarepublic	canada	male	60	l,xl
-20	bananarepublic	europe	male	57	s,m
0	bananarepublic	europe	male	60	l,xl
-20	bananarepublic	us	male	57	s,m
0	bananarepublic	us	male	60	l,xl
-20	bananarepublic	uk	male	57	s,m
0	bananarepublic	uk	male	60	l,xl
-20	gap	us	female	57	s,m
0	gap	us	female	60	l,xl
-20	gap	uk	female	57	s,m
0	gap	uk	female	60	l,xl
-20	gap	us	male	57	s,m
0	gap	us	male	60	l,xl
-20	gap	uk	male	57	s,m
0	gap	uk	male	60	l,xl
-20	george	uk	male	58	s/m
0	george	uk	male	60	l/xl
-20	guess	uk	female	55	m
0	guess	uk	female	57	l
-40	marksspencer	us	male	55.50	6⅞,7/s
-20	marksspencer	us	male	57.50	7⅛,7¼/m
0	marksspencer	us	male	59.50	7⅜,7½/l
20	marksspencer	us	male	61.50	7⅝,7¾/xl
-40	marksspencer	uk	male	55.50	6¾,6⅞/s
-20	marksspencer	uk	male	57.50	7,7⅛/m
0	marksspencer	uk	male	59.50	7¼,7⅜/l
20	marksspencer	uk	male	61.50	7½,7⅝/xl
-20	urbanoutfitters	uk	male	57.15	s,m
0	urbanoutfitters	uk	male	60.33	l,xl
