sizeid	brand	region	gender	waist	hips	height	insideleg	size
-100	axparis	europe	female	63	88.5			36
-80	axparis	europe	female	68	93.5			38
-60	axparis	europe	female	73	98.5			40
-40	axparis	europe	female	78	103.5			42
-20	axparis	europe	female	83	108.5			44
0	axparis	europe	female	90.5	116			46
20	axparis	europe	female	98	123.5			48
40	axparis	europe	female	104	129.5			50
60	axparis	europe	female	110	135.5			52
80	axparis	europe	female	116	141.5			54
-100	axparis	australia	female	63	88.5			8
-80	axparis	australia	female	68	93.5			10
-60	axparis	australia	female	73	98.5			12
-40	axparis	australia	female	78	103.5			14
-20	axparis	australia	female	83	108.5			16
0	axparis	australia	female	90.5	116			18
20	axparis	australia	female	98	123.5			20
40	axparis	australia	female	104	129.5			22
60	axparis	australia	female	110	135.5			24
80	axparis	australia	female	116	141.5			26
-100	axparis	us	female	63	88.5			4
-80	axparis	us	female	68	93.5			6
-60	axparis	us	female	73	98.5			8
-40	axparis	us	female	78	103.5			10
-20	axparis	us	female	83	108.5			12
0	axparis	us	female	90.5	116			14
20	axparis	us	female	98	123.5			16
40	axparis	us	female	104	129.5			18
60	axparis	us	female	110	135.5			20
80	axparis	us	female	116	141.5			22
-100	axparis	uk	female	63	88.5			8
-80	axparis	uk	female	68	93.5			10
-60	axparis	uk	female	73	98.5			12
-40	axparis	uk	female	78	103.5			14
-20	axparis	uk	female	83	108.5			16
0	axparis	uk	female	90.5	116			18
20	axparis	uk	female	98	123.5			20
40	axparis	uk	female	104	129.5			22
60	axparis	uk	female	110	135.5			24
80	axparis	uk	female	116	141.5			26
-20	bananarepublic	canada	female			161.00		s,m
0	bananarepublic	canada	female			170		l,xl
-20	bananarepublic	europe	female			161.00		s,m
0	bananarepublic	europe	female			170		l,xl
-20	bananarepublic	us	female			161.00		s,m
0	bananarepublic	us	female			170		l,xl
-20	bananarepublic	uk	female			161.00		s,m
0	bananarepublic	uk	female			170		l,xl
-20	dorothyperkins	uk	female		93.50	158.50		6,10/s,m
0	dorothyperkins	uk	female		112.00	166.50		12,16/m,l
20	dorothyperkins	uk	female		127.00	179.00		18,22/xl
-260	ff	uk	female		90	160		s
-240	ff	uk	female		90	168		s
-220	ff	uk	female		90	178		m
-200	ff	uk	female		94	160		s
-180	ff	uk	female		94	168		s
-160	ff	uk	female		94	178		m
-140	ff	uk	female		98	160		s
-120	ff	uk	female		98	168		m
-100	ff	uk	female		98	178		m
-80	ff	uk	female		102	160		s
-60	ff	uk	female		102	168		m
-40	ff	uk	female		102	178		m
-20	ff	uk	female		107	160		m
0	ff	uk	female		107	168		l
20	ff	uk	female		107	178		l
40	ff	uk	female		112	160		m
60	ff	uk	female		112	168		l
80	ff	uk	female		112	178		l
100	ff	uk	female		119	160		l
120	ff	uk	female		119	168		l
140	ff	uk	female		119	178		xl
160	ff	uk	female		126	160		l
180	ff	uk	female		126	168		l
200	ff	uk	female		126	178		xl
220	ff	uk	female		134	160		xl
240	ff	uk	female		134	168		xl
260	ff	uk	female		134	178		xl
-20	gap	us	female			159		s,m
0	gap	us	female			171.5		m,l
-20	gap	uk	female			159		s,m
0	gap	uk	female			171.5		m,l
-240	george	uk	female		91.00	155.00		s
-220	george	uk	female		91.00	161.50		s
-200	george	uk	female		91.00	166.50		m
-180	george	uk	female		91.00	171.50		m
-160	george	uk	female		91.00	176.50		l
-140	george	uk	female		101.50	155.00		s
-120	george	uk	female		101.50	161.50		m
-100	george	uk	female		101.50	166.50		m
-80	george	uk	female		101.50	171.50		l
-60	george	uk	female		101.50	176.50		l
-40	george	uk	female		114.50	155.00		m
-20	george	uk	female		114.50	161.50		l
