sizeid	brand	region	gender	chest	neck	sleeve	torsolength	hips	waist	size
-40	abercrombieandfitch	europe	male	0.9350		0.8350				48/S
-20	abercrombieandfitch	europe	male	0.9900		0.8650				50/M
0	abercrombieandfitch	europe	male	1.0400		0.8950				52/L
20	abercrombieandfitch	europe	male	1.0900		0.9200				54/XL
40	abercrombieandfitch	europe	male	1.1400		0.9450				56/XXL
-40	abercrombieandfitch	korea	male	0.9350		0.8350				90,95/S
-20	abercrombieandfitch	korea	male	0.9900		0.8650				95,100/M
0	abercrombieandfitch	korea	male	1.0400		0.8950				100,105/L
20	abercrombieandfitch	korea	male	1.0900		0.9200				105,110/XL
40	abercrombieandfitch	korea	male	1.1400		0.9450				110,115/XXL
-40	abercrombieandfitch	china	male	0.9350		0.8350				175-92Y/S
-20	abercrombieandfitch	china	male	0.9900		0.8650				180-100Y/M
0	abercrombieandfitch	china	male	1.0400		0.8950				185-104Y/L
20	abercrombieandfitch	china	male	1.0900		0.9200				185-108B/XL
40	abercrombieandfitch	china	male	1.1400		0.9450				185-112B/XXL
-40	abercrombieandfitch	uk	male	0.9350		0.8350				38/S
-20	abercrombieandfitch	uk	male	0.9900		0.8650				40/M
0	abercrombieandfitch	uk	male	1.0400		0.8950				42/L
20	abercrombieandfitch	uk	male	1.0900		0.9200				44/XL
40	abercrombieandfitch	uk	male	1.1400		0.9450				46/XXL
-80	bananarepublic	europe	female	0.8100		0.7500				32/XS
-60	bananarepublic	europe	female	0.8100		0.7600				34/XS
-40	bananarepublic	europe	female	0.8400		0.7700				36/S
-20	bananarepublic	europe	female	0.8400		0.7900				38/S
0	bananarepublic	europe	female	0.8600		0.8000				40/M
20	bananarepublic	europe	female	0.8600		0.8100				42/M
40	bananarepublic	europe	female	0.8900		0.8300				44/L
60	bananarepublic	europe	female	0.8900		0.8400				46/L
80	bananarepublic	europe	female	0.9000		0.8500				48/XL
-80	bananarepublic	us	female	0.8100		0.7500				0/XS
-60	bananarepublic	us	female	0.8100		0.7600				2/XS
-40	bananarepublic	us	female	0.8400		0.7700				4/S
-20	bananarepublic	us	female	0.8400		0.7900				6/S
0	bananarepublic	us	female	0.8600		0.8000				8/M
20	bananarepublic	us	female	0.8600		0.8100				10/M
40	bananarepublic	us	female	0.8900		0.8300				12/L
60	bananarepublic	us	female	0.8900		0.8400				14/L
80	bananarepublic	us	female	0.9000		0.8500				16/XL
-80	bananarepublic	uk	female	0.8100		0.7500				4/XS
-60	bananarepublic	uk	female	0.8100		0.7600				6/XS
-40	bananarepublic	uk	female	0.8400		0.7700				8/S
-20	bananarepublic	uk	female	0.8400		0.7900				10/S
0	bananarepublic	uk	female	0.8600		0.8000				12/M
20	bananarepublic	uk	female	0.8600		0.8100				14/M
40	bananarepublic	uk	female	0.8900		0.8300				16/L
60	bananarepublic	uk	female	0.8900		0.8400				18/L
80	bananarepublic	uk	female	0.9000		0.8500				20/XL
-60	bananarepublic	canada	male	0.8750	0.3400	0.8100			0.7250	XS
-40	bananarepublic	canada	male	0.9250	0.3650	0.8400			0.7650	S
-20	bananarepublic	canada	male	0.9950	0.3750	0.8600			0.8250	M
0	bananarepublic	canada	male	1.0800	0.4150	0.8900			0.8750	L
20	bananarepublic	canada	male	1.1800	0.4350	0.9000			0.9250	XL
40	bananarepublic	canada	male	1.2800	0.4650	0.9100			0.9800	XXL
-60	bananarepublic	europe	male	0.8750	0.3400	0.8100			0.7250	XS
-40	bananarepublic	europe	male	0.9250	0.3650	0.8400			0.7650	S
-20	bananarepublic	europe	male	0.9950	0.3750	0.8600			0.8250	M
0	bananarepublic	europe	male	1.0800	0.4150	0.8900			0.8750	L
20	bananarepublic	europe	male	1.1800	0.4350	0.9000			0.9250	XL
40	bananarepublic	europe	male	1.2800	0.4650	0.9100			0.9800	XXL
-60	bananarepublic	us	male	0.8750	0.3400	0.8100			0.7250	XS
-40	bananarepublic	us	male	0.9250	0.3650	0.8400			0.7650	S
-20	bananarepublic	us	male	0.9950	0.3750	0.8600			0.8250	M
0	bananarepublic	us	male	1.0800	0.4150	0.8900			0.8750	L
20	bananarepublic	us	male	1.1800	0.4350	0.9000			0.9250	XL
40	bananarepublic	us	male	1.2800	0.4650	0.9100			0.9800	XXL
-60	bananarepublic	uk	male	0.8750	0.3400	0.8100			0.7250	XS
-40	bananarepublic	uk	male	0.9250	0.3650	0.8400			0.7650	S
-20	bananarepublic	uk	male	0.9950	0.3750	0.8600			0.8250	M
0	bananarepublic	uk	male	1.0800	0.4150	0.8900			0.8750	L
20	bananarepublic	uk	male	1.1800	0.4350	0.9000			0.9250	XL
40	bananarepublic	uk	male	1.2800	0.4650	0.9100			0.9800	XXL
-60	barbour	europe	male	0.9017	0.3493					42-44/XS
-40	barbour	europe	male	0.9525	0.3747					46-48/S
-20	barbour	europe	male	1.0033	0.4001					50-52/M
0	barbour	europe	male	1.0922	0.4191					54-56/L
20	barbour	europe	male	1.1938	0.4381					58-60/XL
40	barbour	europe	male	1.2700	0.4572					62-64/XXL
60	barbour	europe	male	1.3716	0.4826					63-65/XXXL
-60	barbour	us	male	0.9017	0.3493					13½-14/XS
-40	barbour	us	male	0.9525	0.3747					14½-15/S
-20	barbour	us	male	1.0033	0.4001					15½-16/M
0	barbour	us	male	1.0922	0.4191					16½/L
20	barbour	us	male	1.1938	0.4381					17-17½/XL
40	barbour	us	male	1.2700	0.4572					18/XXL
60	barbour	us	male	1.3716	0.4826					19/XXXL
-60	barbour	uk	male	0.9017	0.3493					13½-14/XS
-40	barbour	uk	male	0.9525	0.3747					14½-15/S
-20	barbour	uk	male	1.0033	0.4001					15½-16/M
0	barbour	uk	male	1.0922	0.4191					16½/L
20	barbour	uk	male	1.1938	0.4381					17-17½/XL
40	barbour	uk	male	1.2700	0.4572					18/XXL
60	barbour	uk	male	1.3716	0.4826					19/XXXL
-40	bench	europe	female	0.8200					0.6400	XS
-20	bench	europe	female	0.8700					0.6900	S
0	bench	europe	female	0.9200					0.7400	M
20	bench	europe	female	0.9700					0.7900	L
40	bench	europe	female	1.0200					0.8400	XL
-40	bench	us	female	0.8200					0.6400	XS
-20	bench	us	female	0.8700					0.6900	S
0	bench	us	female	0.9200					0.7400	M
20	bench	us	female	0.9700					0.7900	L
40	bench	us	female	1.0200					0.8400	XL
-40	bench	uk	female	0.8200					0.6400	8/XS
-20	bench	uk	female	0.8700					0.6900	10/S
0	bench	uk	female	0.9200					0.7400	12/M
20	bench	uk	female	0.9700					0.7900	14/L
40	bench	uk	female	1.0200					0.8400	16/XL
-240	bench	europe	male	1.0400	0.3950					S/S
-220	bench	europe	male	1.1000	0.3950					M/S
-200	bench	europe	male	1.1600	0.3950					L/S
-180	bench	europe	male	1.2200	0.3950					XL/S
-160	bench	europe	male	1.3100	0.3950					XXL/S
-140	bench	europe	male	1.0400	0.4100					S/M
-120	bench	europe	male	1.1000	0.4100					M/M
-100	bench	europe	male	1.1600	0.4100					L/M
-80	bench	europe	male	1.2200	0.4100					XL/M
-60	bench	europe	male	1.3100	0.4100					XXL/M
-40	bench	europe	male	1.0400	0.4250					S/L
-20	bench	europe	male	1.1000	0.4250					M/L
0	bench	europe	male	1.1600	0.4250					L/L
20	bench	europe	male	1.2200	0.4250					XL/L
40	bench	europe	male	1.3100	0.4250					XXL/L
60	bench	europe	male	1.0400	0.4400					S/XL
80	bench	europe	male	1.1000	0.4400					M/XL
100	bench	europe	male	1.1600	0.4400					L/XL
120	bench	europe	male	1.2200	0.4400					XL/XL
140	bench	europe	male	1.3100	0.4400					XXL/XL
160	bench	europe	male	1.0400	0.4650					S/XXL
180	bench	europe	male	1.1000	0.4650					M/XXL
200	bench	europe	male	1.1600	0.4650					L/XXL
