sizeid	brand	region	gender	footlength	footwidth	size
-60	atomic	AA	female	0.2250		22.5
-40	atomic	AA	female	0.2350		23.5
-20	atomic	AA	female	0.2450		24.5
0	atomic	AA	female	0.2550		25.5
20	atomic	AA	female	0.2650		26.5
40	atomic	AA	female	0.2750		27.5
-60	atomic	US	female	0.2250		22.5
-40	atomic	US	female	0.2350		23.5
-20	atomic	US	female	0.2450		24.5
0	atomic	US	female	0.2550		25.5
20	atomic	US	female	0.2650		26.5
40	atomic	US	female	0.2750		27.5
-60	atomic	FR	female	0.2250		22.5
-40	atomic	FR	female	0.2350		23.5
-20	atomic	FR	female	0.2450		24.5
0	atomic	FR	female	0.2550		25.5
20	atomic	FR	female	0.2650		26.5
40	atomic	FR	female	0.2750		27.5
-60	atomic	DE	female	0.2250		22.5
-40	atomic	DE	female	0.2350		23.5
-20	atomic	DE	female	0.2450		24.5
0	atomic	DE	female	0.2550		25.5
20	atomic	DE	female	0.2650		26.5
40	atomic	DE	female	0.2750		27.5
-60	atomic	NO	female	0.2250		22.5
-40	atomic	NO	female	0.2350		23.5
-20	atomic	NO	female	0.2450		24.5
0	atomic	NO	female	0.2550		25.5
20	atomic	NO	female	0.2650		26.5
40	atomic	NO	female	0.2750		27.5
-60	atomic	XA	female	0.2250		22.5
-40	atomic	XA	female	0.2350		23.5
-20	atomic	XA	female	0.2450		24.5
0	atomic	XA	female	0.2550		25.5
20	atomic	XA	female	0.2650		26.5
40	atomic	XA	female	0.2750		27.5
-60	atomic	IT	female	0.2250		22.5
-40	atomic	IT	female	0.2350		23.5
-20	atomic	IT	female	0.2450		24.5
0	atomic	IT	female	0.2550		25.5
20	atomic	IT	female	0.2650		26.5
40	atomic	IT	female	0.2750		27.5
-60	atomic	SI	female	0.2250		22.5
-40	atomic	SI	female	0.2350		23.5
-20	atomic	SI	female	0.2450		24.5
0	atomic	SI	female	0.2550		25.5
20	atomic	SI	female	0.2650		26.5
40	atomic	SI	female	0.2750		27.5
-60	atomic	PL	female	0.2250		22.5
-40	atomic	PL	female	0.2350		23.5
-20	atomic	PL	female	0.2450		24.5
0	atomic	PL	female	0.2550		25.5
20	atomic	PL	female	0.2650		26.5
40	atomic	PL	female	0.2750		27.5
-60	atomic	NZ	female	0.2250		22.5
-40	atomic	NZ	female	0.2350		23.5
-20	atomic	NZ	female	0.2450		24.5
0	atomic	NZ	female	0.2550		25.5
20	atomic	NZ	female	0.2650		26.5
40	atomic	NZ	female	0.2750		27.5
-60	atomic	CH	female	0.2250		22.5
-40	atomic	CH	female	0.2350		23.5
-20	atomic	CH	female	0.2450		24.5
0	atomic	CH	female	0.2550		25.5
20	atomic	CH	female	0.2650		26.5
40	atomic	CH	female	0.2750		27.5
-60	atomic	AU	female	0.2250		22.5
-40	atomic	AU	female	0.2350		23.5
-20	atomic	AU	female	0.2450		24.5
0	atomic	AU	female	0.2550		25.5
20	atomic	AU	female	0.2650		26.5
40	atomic	AU	female	0.2750		27.5
-60	atomic	GB	female	0.2250		22.5
-40	atomic	GB	female	0.2350		23.5
-20	atomic	GB	female	0.2450		24.5
0	atomic	GB	female	0.2550		25.5
20	atomic	GB	female	0.2650		26.5
40	atomic	GB	female	0.2750		27.5
-60	atomic	SE	female	0.2250		22.5
-40	atomic	SE	female	0.2350		23.5
-20	atomic	SE	female	0.2450		24.5
0	atomic	SE	female	0.2550		25.5
20	atomic	SE	female	0.2650		26.5
40	atomic	SE	female	0.2750		27.5
-60	atomic	FI	female	0.2250		22.5
-40	atomic	FI	female	0.2350		23.5
-20	atomic	FI	female	0.2450		24.5
0	atomic	FI	female	0.2550		25.5
20	atomic	FI	female	0.2650		26.5
40	atomic	FI	female	0.2750		27.5
-60	atomic	CA	female	0.2250		22.5
-40	atomic	CA	female	0.2350		23.5
-20	atomic	CA	female	0.2450		24.5
0	atomic	CA	female	0.2550		25.5
20	atomic	CA	female	0.2650		26.5
40	atomic	CA	female	0.2750		27.5
-60	atomic	ES	female	0.2250		22.5
-40	atomic	ES	female	0.2350		23.5
-20	atomic	ES	female	0.2450		24.5
0	atomic	ES	female	0.2550		25.5
20	atomic	ES	female	0.2650		26.5
40	atomic	ES	female	0.2750		27.5
-60	atomic	AT	female	0.2250		22.5
-40	atomic	AT	female	0.2350		23.5
-20	atomic	AT	female	0.2450		24.5
0	atomic	AT	female	0.2550		25.5
20	atomic	AT	female	0.2650		26.5
40	atomic	AT	female	0.2750		27.5
-60	atomic	AA	male	0.2250		22.5
-40	atomic	AA	male	0.2350		23.5
-20	atomic	AA	male	0.2450		24.5
0	atomic	AA	male	0.2550		25.5
20	atomic	AA	male	0.2650		26.5
40	atomic	AA	male	0.2750		27.5
-60	atomic	US	male	0.2250		22.5
-40	atomic	US	male	0.2350		23.5
-20	atomic	US	male	0.2450		24.5
0	atomic	US	male	0.2550		25.5
20	atomic	US	male	0.2650		26.5
40	atomic	US	male	0.2750		27.5
-60	atomic	FR	male	0.2250		22.5
-40	atomic	FR	male	0.2350		23.5
-20	atomic	FR	male	0.2450		24.5
0	atomic	FR	male	0.2550		25.5
20	atomic	FR	male	0.2650		26.5
40	atomic	FR	male	0.2750		27.5
-60	atomic	DE	male	0.2250		22.5
-40	atomic	DE	male	0.2350		23.5
-20	atomic	DE	male	0.2450		24.5
0	atomic	DE	male	0.2550		25.5
20	atomic	DE	male	0.2650		26.5
40	atomic	DE	male	0.2750		27.5
-60	atomic	NO	male	0.2250		22.5
-40	atomic	NO	male	0.2350		23.5
-20	atomic	NO	male	0.2450		24.5
0	atomic	NO	male	0.2550		25.5
20	atomic	NO	male	0.2650		26.5
40	atomic	NO	male	0.2750		27.5
-60	atomic	XA	male	0.2250		22.5
-40	atomic	XA	male	0.2350		23.5
-20	atomic	XA	male	0.2450		24.5
0	atomic	XA	male	0.2550		25.5
20	atomic	XA	male	0.2650		26.5
40	atomic	XA	male	0.2750		27.5
-60	atomic	IT	male	0.2250		22.5
-40	atomic	IT	male	0.2350		23.5
-20	atomic	IT	male	0.2450		24.5
0	atomic	IT	male	0.2550		25.5
20	atomic	IT	male	0.2650		26.5
40	atomic	IT	male	0.2750		27.5
-60	atomic	SI	male	0.2250		22.5
-40	atomic	SI	male	0.2350		23.5
-20	atomic	SI	male	0.2450		24.5
0	atomic	SI	male	0.2550		25.5
20	atomic	SI	male	0.2650		26.5
40	atomic	SI	male	0.2750		27.5
-60	atomic	PL	male	0.2250		22.5
-40	atomic	PL	male	0.2350		23.5
-20	atomic	PL	male	0.2450		24.5
0	atomic	PL	male	0.2550		25.5
20	atomic	PL	male	0.2650		26.5
40	atomic	PL	male	0.2750		27.5
-60	atomic	NZ	male	0.2250		22.5
-40	atomic	NZ	male	0.2350		23.5
-20	atomic	NZ	male	0.2450		24.5
