sizeid	brand	region	gender	waist	shoulder	sleeve	chest	insideleg	neck	torsolength	hips	size
-60	johnlewis	europe	male				0.9144					46/XS
-40	johnlewis	europe	male				0.9652					48/S
-20	johnlewis	europe	male				1.0160					52/M
0	johnlewis	europe	male				1.0668					52/L
20	johnlewis	europe	male				1.1176					54/XL
40	johnlewis	europe	male				1.1684					56/XXL
-60	johnlewis	us	male				0.9144					36-86/XS
-40	johnlewis	us	male				0.9652					38-96/S
-20	johnlewis	us	male				1.0160					40-101/M
0	johnlewis	us	male				1.0668					42-106/L
20	johnlewis	us	male				1.1176					44-111/XL
40	johnlewis	us	male				1.1684					46-116/XXL
-60	johnlewis	uk	male				0.9144					36-86/XS
-40	johnlewis	uk	male				0.9652					38-96/S
-20	johnlewis	uk	male				1.0160					40-101/M
0	johnlewis	uk	male				1.0668					42-106/L
20	johnlewis	uk	male				1.1176					44-111/XL
40	johnlewis	uk	male				1.1684					46-116/XXL
-280	marksspencer	europe	male				0.9144			0.7366		46 (Short)
-260	marksspencer	europe	male				0.9144			0.7874		46 (Medium)
-240	marksspencer	europe	male				0.9652			0.7620		48 (Short)
-220	marksspencer	europe	male				0.9652			0.7874		48 (Medium)
-200	marksspencer	europe	male				1.0160			0.7620		50 (Short)
-180	marksspencer	europe	male				1.0160			0.7874		50 (Medium)
-160	marksspencer	europe	male				1.0160			0.8128		50 (Long)
-140	marksspencer	europe	male				1.0668			0.7620		52 (Short)
-120	marksspencer	europe	male				1.0668			0.8128		52 (Medium)
-100	marksspencer	europe	male				1.0668			0.8128		52 (Long)
-80	marksspencer	europe	male				1.1176			0.7620		54 (Short)
-60	marksspencer	europe	male				1.1176			0.8128		54 (Medium)
-40	marksspencer	europe	male				1.1176			0.8128		54 (Long)
-20	marksspencer	europe	male				1.1176			0.8636		54 (Extra Long)
0	marksspencer	europe	male				1.1684			0.7874		56 (Short)
20	marksspencer	europe	male				1.1684			0.8128		56 (Medium)
40	marksspencer	europe	male				1.1684			0.8382		56 (Long)
60	marksspencer	europe	male				1.1684			0.8636		56 (Extra Long)
80	marksspencer	europe	male				1.2192			0.7874		58 (Short)
100	marksspencer	europe	male				1.2192			0.8128		58 (Medium)
120	marksspencer	europe	male				1.2192			0.8382		58 (Long)
140	marksspencer	europe	male				1.2192			0.8636		58 (Extra Long)
160	marksspencer	europe	male				1.2700			0.8128		60 (Medium)
180	marksspencer	europe	male				1.2700			0.8382		60 (Long)
200	marksspencer	europe	male				1.2700			0.8890		60 (Extra Long)
220	marksspencer	europe	male				1.3208			0.8382		62 (Medium)
240	marksspencer	europe	male				1.3208			0.8636		62 (Long)
260	marksspencer	europe	male				1.3208			0.8890		62 (Extra Long)
-280	marksspencer	uk	male				0.9144			0.7366		36 (Short)
-260	marksspencer	uk	male				0.9144			0.7874		36 (Medium)
-240	marksspencer	uk	male				0.9652			0.7620		38 (Short)
-220	marksspencer	uk	male				0.9652			0.7874		38 (Medium)
-200	marksspencer	uk	male				1.0160			0.7620		40 (Short)
-180	marksspencer	uk	male				1.0160			0.7874		40 (Medium)
-160	marksspencer	uk	male				1.0160			0.8128		40 (Long)
-140	marksspencer	uk	male				1.0668			0.7620		42 (Short)
-120	marksspencer	uk	male				1.0668			0.8128		42 (Medium)
-100	marksspencer	uk	male				1.0668			0.8128		42 (Long)
