sizeid	brand	region	gender	waist	hips	insideleg	size
-40	abercrombieandfitch	europe	female	60.50			32,34/xs
-20	abercrombieandfitch	europe	female	67.00			36/s
0	abercrombieandfitch	europe	female	72.00			38/m
20	abercrombieandfitch	europe	female	77.50			40,42/l
-40	abercrombieandfitch	korea	female	60.50			44/xs
-20	abercrombieandfitch	korea	female	67.00			55/s
0	abercrombieandfitch	korea	female	72.00			66/m
20	abercrombieandfitch	korea	female	77.50			77/l
-40	abercrombieandfitch	italy	female	60.50			38,40/xs
-20	abercrombieandfitch	italy	female	67.00			42/s
0	abercrombieandfitch	italy	female	72.00			44/m
20	abercrombieandfitch	italy	female	77.50			46,48/l
-40	abercrombieandfitch	us	female	60.50			000-0/xs
-20	abercrombieandfitch	us	female	67.00			2-4/s
0	abercrombieandfitch	us	female	72.00			6-8/m
20	abercrombieandfitch	us	female	77.50			10-12/l
-40	abercrombieandfitch	france	female	60.50			34,36/xs
-20	abercrombieandfitch	france	female	67.00			38/s
0	abercrombieandfitch	france	female	72.00			40/m
20	abercrombieandfitch	france	female	77.50			42,44/l
-40	abercrombieandfitch	china	female	60.50			165-58y,175-62y/xs
-20	abercrombieandfitch	china	female	67.00			165-64y,175-68y/s
0	abercrombieandfitch	china	female	72.00			170-70y,175-72y/m
20	abercrombieandfitch	china	female	77.50			170-74y,175-76y/l
-40	abercrombieandfitch	uk	female	60.50			4,6/xs
-20	abercrombieandfitch	uk	female	67.00			8,10/s
0	abercrombieandfitch	uk	female	72.00			10,12/m
20	abercrombieandfitch	uk	female	77.50			14,16/l
-40	abercrombieandfitch	japan	female	60.50			5,7/xs
-20	abercrombieandfitch	japan	female	67.00			7,9/s
0	abercrombieandfitch	japan	female	72.00			9,11/m
20	abercrombieandfitch	japan	female	77.50			11,13/l
-40	abercrombieandfitch	korea	male	71			90/xs
-20	abercrombieandfitch	korea	male	75.00			95/s
0	abercrombieandfitch	korea	male	80.00			95,100/m
20	abercrombieandfitch	korea	male	85.00			100/l
40	abercrombieandfitch	korea	male	91			105/xl
-40	abercrombieandfitch	italy	male	71			42/xs
-20	abercrombieandfitch	italy	male	75.00			42,44/s
0	abercrombieandfitch	italy	male	80.00			46/m
20	abercrombieandfitch	italy	male	85.00			48/l
40	abercrombieandfitch	italy	male	91			50/xl
-40	abercrombieandfitch	china	male	71			170-72y/xs
-20	abercrombieandfitch	china	male	75.00			175-72y,180-76y/s
0	abercrombieandfitch	china	male	80.00			175-80y,185-82y/m
20	abercrombieandfitch	china	male	85.00			185-84y,190-86y/l
40	abercrombieandfitch	china	male	91			190-90a,195-90a/xl
-100	axparis	europe	female	63	88.5		36
-80	axparis	europe	female	68	93.5		38
-60	axparis	europe	female	73	98.5		40
-40	axparis	europe	female	78	103.5		42
-20	axparis	europe	female	83	108.5		44
0	axparis	europe	female	90.5	116		46
20	axparis	europe	female	98	123.5		48
40	axparis	europe	female	104	129.5		50
60	axparis	europe	female	110	135.5		52
80	axparis	europe	female	116	141.5		54
-100	axparis	australia	female	63	88.5		8
-80	axparis	australia	female	68	93.5		10
-60	axparis	australia	female	73	98.5		12
-40	axparis	australia	female	78	103.5		14
-20	axparis	australia	female	83	108.5		16
0	axparis	australia	female	90.5	116		18
20	axparis	australia	female	98	123.5		20
40	axparis	australia	female	104	129.5		22
60	axparis	australia	female	110	135.5		24
80	axparis	australia	female	116	141.5		26
-100	axparis	us	female	63	88.5		4
-80	axparis	us	female	68	93.5		6
-60	axparis	us	female	73	98.5		8
-40	axparis	us	female	78	103.5		10
-20	axparis	us	female	83	108.5		12
0	axparis	us	female	90.5	116		14
20	axparis	us	female	98	123.5		16
40	axparis	us	female	104	129.5		18
60	axparis	us	female	110	135.5		20
80	axparis	us	female	116	141.5		22
-100	axparis	uk	female	63	88.5		8
-80	axparis	uk	female	68	93.5		10
-60	axparis	uk	female	73	98.5		12
-40	axparis	uk	female	78	103.5		14
-20	axparis	uk	female	83	108.5		16
0	axparis	uk	female	90.5	116		18
20	axparis	uk	female	98	123.5		20
40	axparis	uk	female	104	129.5		22
60	axparis	uk	female	110	135.5		24
80	axparis	uk	female	116	141.5		26
-80	bananarepublic	europe	female	61  64	86  89	84  84	30  32/xs  xs
-60	bananarepublic	europe	female	66	91	84	34/xs
-40	bananarepublic	europe	female	69	94	84	36/s
-20	bananarepublic	europe	female	71	97	84	38/s
0	bananarepublic	europe	female	74	99	84	40/m
20	bananarepublic	europe	female	76	102	84	42/m
40	bananarepublic	europe	female	80	105	84	44/l
60	bananarepublic	europe	female	84	109	84	46/l
80	bananarepublic	europe	female	88	113	84	48/xl
-80	bananarepublic	us	female	61  64	86  89	84  84	00  0/xs  xs
-60	bananarepublic	us	female	66	91	84	2/xs
-40	bananarepublic	us	female	69	94	84	4/s
-20	bananarepublic	us	female	71	97	84	6/s
0	bananarepublic	us	female	74	99	84	8/m
20	bananarepublic	us	female	76	102	84	10/m
40	bananarepublic	us	female	80	105	84	12/l
60	bananarepublic	us	female	84	109	84	14/l
80	bananarepublic	us	female	88	113	84	16/xl
-80	bananarepublic	uk	female	61  64	86  89	84  84	2   4/xs  xs
-60	bananarepublic	uk	female	66	91	84	6/xs
-40	bananarepublic	uk	female	69	94	84	8/s
-20	bananarepublic	uk	female	71	97	84	10/s
0	bananarepublic	uk	female	74	99	84	12/m
20	bananarepublic	uk	female	76	102	84	14/m
40	bananarepublic	uk	female	80	105	84	16/l
60	bananarepublic	uk	female	84	109	84	18/l
80	bananarepublic	uk	female	88	113	84	20/xl
-200	bananarepublic	canada	male	73.66		81.28	29 (32)
-180	bananarepublic	canada	male	76.20		76.20	30 (30)
-160	bananarepublic	canada	male	76.20		81.28	30 (32)
-140	bananarepublic	canada	male	78.74		76.20	31 (30)
-120	bananarepublic	canada	male	78.74		81.28	31 (32)
-100	bananarepublic	canada	male	81.28		76.20	32 (30)
-80	bananarepublic	canada	male	81.28		81.28	32 (32)
-60	bananarepublic	canada	male	81.28		86.36	32 (34)
-40	bananarepublic	canada	male	83.82		76.20	33 (30)
-20	bananarepublic	canada	male	83.82		81.28	33 (32)
0	bananarepublic	canada	male	83.82		86.36	33 (34)
20	bananarepublic	canada	male	86.36		76.20	34 (30)
40	bananarepublic	canada	male	86.36		81.28	34 (32)
60	bananarepublic	canada	male	86.36		86.36	34 (34)
80	bananarepublic	canada	male	88.90		76.20	35 (30)
100	bananarepublic	canada	male	88.90		81.28	35 (32)
120	bananarepublic	canada	male	88.90		86.36	35 (34)
140	bananarepublic	canada	male	91.44		76.20	36 (30)
160	bananarepublic	canada	male	91.44		81.28	36 (32)
180	bananarepublic	canada	male	91.44		86.36	36 (34)
200	bananarepublic	canada	male	96.52		81.28	38 (32)
-200	bananarepublic	europe	male	73.66		81.28	29 (32)
-180	bananarepublic	europe	male	76.20		76.20	30 (30)
-160	bananarepublic	europe	male	76.20		81.28	30 (32)
-140	bananarepublic	europe	male	78.74		76.20	31 (30)
-120	bananarepublic	europe	male	78.74		81.28	31 (32)
-100	bananarepublic	europe	male	81.28		76.20	32 (30)
-80	bananarepublic	europe	male	81.28		81.28	32 (32)
-60	bananarepublic	europe	male	81.28		86.36	32 (34)
-40	bananarepublic	europe	male	83.82		76.20	33 (30)
-20	bananarepublic	europe	male	83.82		81.28	33 (32)
0	bananarepublic	europe	male	83.82		86.36	33 (34)
20	bananarepublic	europe	male	86.36		76.20	34 (30)
40	bananarepublic	europe	male	86.36		81.28	34 (32)
60	bananarepublic	europe	male	86.36		86.36	34 (34)
80	bananarepublic	europe	male	88.90		76.20	35 (30)
100	bananarepublic	europe	male	88.90		81.28	35 (32)
120	bananarepublic	europe	male	88.90		86.36	35 (34)
140	bananarepublic	europe	male	91.44		76.20	36 (30)
160	bananarepublic	europe	male	91.44		81.28	36 (32)
180	bananarepublic	europe	male	91.44		86.36	36 (34)
200	bananarepublic	europe	male	96.52		81.28	38 (32)
-200	bananarepublic	us	male	73.66		81.28	29 (32)
-180	bananarepublic	us	male	76.20		76.20	30 (30)
-160	bananarepublic	us	male	76.20		81.28	30 (32)
-140	bananarepublic	us	male	78.74		76.20	31 (30)
-120	bananarepublic	us	male	78.74		81.28	31 (32)
-100	bananarepublic	us	male	81.28		76.20	32 (30)
-80	bananarepublic	us	male	81.28		81.28	32 (32)
-60	bananarepublic	us	male	81.28		86.36	32 (34)
-40	bananarepublic	us	male	83.82		76.20	33 (30)
-20	bananarepublic	us	male	83.82		81.28	33 (32)
0	bananarepublic	us	male	83.82		86.36	33 (34)
20	bananarepublic	us	male	86.36		76.20	34 (30)
40	bananarepublic	us	male	86.36		81.28	34 (32)
60	bananarepublic	us	male	86.36		86.36	34 (34)
80	bananarepublic	us	male	88.90		76.20	35 (30)
100	bananarepublic	us	male	88.90		81.28	35 (32)
120	bananarepublic	us	male	88.90		86.36	35 (34)
140	bananarepublic	us	male	91.44		76.20	36 (30)
160	bananarepublic	us	male	91.44		81.28	36 (32)
180	bananarepublic	us	male	91.44		86.36	36 (34)
200	bananarepublic	us	male	96.52		81.28	38 (32)
-200	bananarepublic	uk	male	73.66		81.28	29 (32)
-180	bananarepublic	uk	male	76.20		76.20	30 (30)
-160	bananarepublic	uk	male	76.20		81.28	30 (32)
-140	bananarepublic	uk	male	78.74		76.20	31 (30)
-120	bananarepublic	uk	male	78.74		81.28	31 (32)
-100	bananarepublic	uk	male	81.28		76.20	32 (30)
-80	bananarepublic	uk	male	81.28		81.28	32 (32)
-60	bananarepublic	uk	male	81.28		86.36	32 (34)
-40	bananarepublic	uk	male	83.82		76.20	33 (30)
-20	bananarepublic	uk	male	83.82		81.28	33 (32)
0	bananarepublic	uk	male	83.82		86.36	33 (34)
20	bananarepublic	uk	male	86.36		76.20	34 (30)
40	bananarepublic	uk	male	86.36		81.28	34 (32)
60	bananarepublic	uk	male	86.36		86.36	34 (34)
80	bananarepublic	uk	male	88.90		76.20	35 (30)
100	bananarepublic	uk	male	88.90		81.28	35 (32)
120	bananarepublic	uk	male	88.90		86.36	35 (34)
140	bananarepublic	uk	male	91.44		76.20	36 (30)
160	bananarepublic	uk	male	91.44		81.28	36 (32)
180	bananarepublic	uk	male	91.44		86.36	36 (34)
200	bananarepublic	uk	male	96.52		81.28	38 (32)
-40	bench	europe	female	64	87		xs
-20	bench	europe	female	69	92		s
0	bench	europe	female	74	97		m
20	bench	europe	female	79	102		l
40	bench	europe	female	84	107		xl
-40	bench	us	female	64	87		xs
-20	bench	us	female	69	92		s
0	bench	us	female	74	97		m
20	bench	us	female	79	102		l
40	bench	us	female	84	107		xl
-40	bench	uk	female	64	87		8/xs
-20	bench	uk	female	69	92		10/s
0	bench	uk	female	74	97		12/m
20	bench	uk	female	79	102		14/l
40	bench	uk	female	84	107		16/xl
-42	bench	europe	male	71		76	s (s)
-22	bench	europe	male	76		81	m (s)
-2	bench	europe	male	81		86	l (s)
18	bench	europe	male	86		76	xl (s)
38	bench	europe	male	91		81	xxl (s)
-40	bench	europe	male	71		86	s (m)
-20	bench	europe	male	76		76	m (m)
0	bench	europe	male	81		81	l (m)
20	bench	europe	male	86		86	xl (m)
40	bench	europe	male	91		76	xxl (m)
-38	bench	europe	male	71		81	s (l)
-18	bench	europe	male	76		86	m (l)
2	bench	europe	male	81		76	l (l)
22	bench	europe	male	86		81	xl (l)
42	bench	europe	male	91		86	xxl (l)
-42	bench	us	male	71		76	s (s)
-22	bench	us	male	76		81	m (s)
-2	bench	us	male	81		86	l (s)
18	bench	us	male	86		76	xl (s)
38	bench	us	male	91		81	xxl (s)
-40	bench	us	male	71		86	s (m)
-20	bench	us	male	76		76	m (m)
0	bench	us	male	81		81	l (m)
20	bench	us	male	86		86	xl (m)
40	bench	us	male	91		76	xxl (m)
-38	bench	us	male	71		81	s (l)
-18	bench	us	male	76		86	m (l)
2	bench	us	male	81		76	l (l)
22	bench	us	male	86		81	xl (l)
42	bench	us	male	91		86	xxl (l)
-42	bench	uk	male	71		76	s (s)
-22	bench	uk	male	76		81	m (s)
-2	bench	uk	male	81		86	l (s)
18	bench	uk	male	86		76	xl (s)
38	bench	uk	male	91		81	xxl (s)
-40	bench	uk	male	71		86	s (m)
-20	bench	uk	male	76		76	m (m)
0	bench	uk	male	81		81	l (m)
20	bench	uk	male	86		86	xl (m)
40	bench	uk	male	91		76	xxl (m)
-38	bench	uk	male	71		81	s (l)
-18	bench	uk	male	76		86	m (l)
2	bench	uk	male	81		76	l (l)
22	bench	uk	male	86		81	xl (l)
42	bench	uk	male	91		86	xxl (l)
-60	chesca	uk	female	82	110		12/chesca 1
-40	chesca	uk	female	88	116		14/chesca 1
-20	chesca	uk	female	94	122		16/chesca 2
0	chesca	uk	female	100	128		18/chesca 2
20	chesca	uk	female	106	134		20/chesca 3
40	chesca	uk	female	112	140		22/chesca 3
60	chesca	uk	female	118	146		24/chesca 4
-62	coast	netherlands	female	66	88	82	32/xxs (standard)
-42	coast	netherlands	female	66	91	62	34/xs (standard)
-22	coast	netherlands	female	70	95	82	36/xs,s (standard)
-2	coast	netherlands	female	75	100	62	38/s (standard)
18	coast	netherlands	female	80	105	82	40/m (standard)
38	coast	netherlands	female	85	110	62	42/m,l (standard)
58	coast	netherlands	female	90	115	82	44/l (standard)
-60	coast	netherlands	female	66	88	62	32/xxs (cropped)
-40	coast	netherlands	female	66	91	82	34/xs (cropped)
-20	coast	netherlands	female	70	95	62	36/xs,s (cropped)
0	coast	netherlands	female	75	100	82	38/s (cropped)
20	coast	netherlands	female	80	105	62	40/m (cropped)
