sizeid	brand	region	gender	height	chest	waist	hips	weight	size
-60	billabong	AA	female	1.5750	0.7650	0.6050	0.8650		6
-40	billabong	AA	female	1.6500	0.7850	0.6350	0.8850		8
-20	billabong	AA	female	1.6800	0.8350	0.6850	0.9400		10
0	billabong	AA	female	1.7200	0.8850	0.7350	0.9950		12
20	billabong	AA	female	1.7350	0.9650	0.7850	1.0450		14
40	billabong	AA	female	1.7350	1.0150	0.8350	1.0950		16
-60	billabong	AU	female	1.5750	0.7650	0.6050	0.8650		6
-40	billabong	AU	female	1.6500	0.7850	0.6350	0.8850		8
-20	billabong	AU	female	1.6800	0.8350	0.6850	0.9400		10
0	billabong	AU	female	1.7200	0.8850	0.7350	0.9950		12
20	billabong	AU	female	1.7350	0.9650	0.7850	1.0450		14
40	billabong	AU	female	1.7350	1.0150	0.8350	1.0950		16
-60	billabong	GB	female	1.5750	0.7650	0.6050	0.8650		6
-40	billabong	GB	female	1.6500	0.7850	0.6350	0.8850		8
-20	billabong	GB	female	1.6800	0.8350	0.6850	0.9400		10
0	billabong	GB	female	1.7200	0.8850	0.7350	0.9950		12
20	billabong	GB	female	1.7350	0.9650	0.7850	1.0450		14
40	billabong	GB	female	1.7350	1.0150	0.8350	1.0950		16
-80	billabong	US	female	1.5113	0.7239	0.5588		39.3750	0
-60	billabong	US	female	1.5748	0.7747	0.6096		43.8750	2
-40	billabong	US	female	1.6256	0.8001	0.6350		48.3750	4
-20	billabong	US	female	1.6510	0.8255	0.6604		52.8750	6
0	billabong	US	female	1.6764	0.8509	0.6858		57.3750	8
20	billabong	US	female	1.7018	0.8890	0.7112		63.0000	10
40	billabong	US	female	1.7272	0.9271	0.7620		67.5000	12
60	billabong	US	female	1.7780	0.9716	0.9017		72.0000	14
80	billabong	US	female	1.7907	1.0033	0.8382		78.7500	16
-120	billabong	AA	male	1.6900	0.8850	0.7150	0.8650	60.50	XS
-100	billabong	AA	male	1.7200	0.9350	0.7650	0.8850	65.50	S
-80	billabong	AA	male	1.7500	0.9350	0.7650	0.8850	68.50	ST
-60	billabong	AA	male	1.7200	0.9850	0.8150	0.9150	73.50	MS
-40	billabong	AA	male	1.7800	0.9850	0.8150	0.9150	72.50	M
-20	billabong	AA	male	1.8300	0.9850	0.8150	0.9150	77.50	MT
0	billabong	AA	male	1.7800	1.0350	0.8650	0.9650	77.50	LS
20	billabong	AA	male	1.8300	1.0350	0.8650	0.9650	81.50	L
40	billabong	AA	male	1.8500	1.0350	0.8650	0.9650	86.50	LT
60	billabong	AA	male	1.8900	1.0850	0.9150	1.0150	90.50	XL
80	billabong	AA	male	1.9200	1.0850	0.9150	1.0650	99.50	XXL
100	billabong	AA	male	1.9200	1.0850	0.9150	1.0850	108.50	XXXL
-120	billabong	AU	male	1.6900	0.8850	0.7150	0.8650	60.50	XS
-100	billabong	AU	male	1.7200	0.9350	0.7650	0.8850	65.50	S
-80	billabong	AU	male	1.7500	0.9350	0.7650	0.8850	68.50	ST
-60	billabong	AU	male	1.7200	0.9850	0.8150	0.9150	73.50	MS
-40	billabong	AU	male	1.7800	0.9850	0.8150	0.9150	72.50	M
-20	billabong	AU	male	1.8300	0.9850	0.8150	0.9150	77.50	MT
0	billabong	AU	male	1.7800	1.0350	0.8650	0.9650	77.50	LS
20	billabong	AU	male	1.8300	1.0350	0.8650	0.9650	81.50	L
40	billabong	AU	male	1.8500	1.0350	0.8650	0.9650	86.50	LT
60	billabong	AU	male	1.8900	1.0850	0.9150	1.0150	90.50	XL
80	billabong	AU	male	1.9200	1.0850	0.9150	1.0650	99.50	XXL
100	billabong	AU	male	1.9200	1.0850	0.9150	1.0850	108.50	XXXL
-120	billabong	GB	male	1.6900	0.8850	0.7150	0.8650	60.50	XS
-100	billabong	GB	male	1.7200	0.9350	0.7650	0.8850	65.50	S
-80	billabong	GB	male	1.7500	0.9350	0.7650	0.8850	68.50	ST
-60	billabong	GB	male	1.7200	0.9850	0.8150	0.9150	73.50	MS
-40	billabong	GB	male	1.7800	0.9850	0.8150	0.9150	72.50	M
-20	billabong	GB	male	1.8300	0.9850	0.8150	0.9150	77.50	MT
0	billabong	GB	male	1.7800	1.0350	0.8650	0.9650	77.50	LS
20	billabong	GB	male	1.8300	1.0350	0.8650	0.9650	81.50	L
40	billabong	GB	male	1.8500	1.0350	0.8650	0.9650	86.50	LT
60	billabong	GB	male	1.8900	1.0850	0.9150	1.0150	90.50	XL
80	billabong	GB	male	1.9200	1.0850	0.9150	1.0650	99.50	XXL
100	billabong	GB	male	1.9200	1.0850	0.9150	1.0850	108.50	XXXL
-120	billabong	US	male	1.7272	0.9017	0.7366		59.6250	XS
-100	billabong	US	male	1.7526	0.9525	0.7620		65.2500	S
-80	billabong	US	male	1.7780	1.0033	0.8001		72.0000	M
-60	billabong	US	male	1.7145	0.9970	0.8001		67.5000	MS
-40	billabong	US	male	1.8796	1.0033	0.8001		76.5000	MT
-20	billabong	US	male	1.8034	1.0541	0.8509		81.0000	L
0	billabong	US	male	1.7399	1.0541	0.8509		76.5000	LS
20	billabong	US	male	1.8796	1.0541	0.8509		81.0000	LT
40	billabong	US	male	1.8288	1.1049	0.9017		90.0000	XL
60	billabong	US	male	1.7653	1.1049	0.9017		85.5000	XLS
80	billabong	US	male	1.8542	1.1557	0.9525		99.0000	XXL
100	billabong	US	male	1.8542	1.6002	1.0414		108.0000	XXXL
-60	bodyglove	AA	female	1.5494				43.8750	3,4
-40	bodyglove	AA	female	1.6002				50.6250	5,6
-20	bodyglove	AA	female	1.6637				56.2500	7,8
0	bodyglove	AA	female	1.7145				60.7500	9,10
20	bodyglove	AA	female	1.7399				63.0000	11,12
