UK	EU	US	AUS
32 A	70A	32AA	10A
32B	70B	32A	10B
32C	70C	32B	10C
32D	70D	32C	10D
32DD	70DD	32D	10DD
32E	70E	32DD	10E
32F	70F	32E	10F
32G	70G	32F	10G
34A	75A	34AA	12A
34B	75B	34A	12B
34C	75C	34B	12C
34D	75D	34C	12D
34DD	75DD	34D	12DD
34E	75E	34DD	12E
34F	75F	34E	12F
34G	75G	34F	12G
36A	80A	36AA	14A
36B	80B	36A	14B
36C	80C	36B	14C
36D	80D	36C	14D
36DD	80DD	36D	14DD
36E	80E	36DD	14E
36F	80F	36E	14F
36G	80G	36F	14G
38A	85A	38AA	16A
38B	85B	38A	16B
38C	85C	38B	16C
38D	85D	38C	16D
38DD	85DD	38D	16DD
38E	85E	38DD	16E
38F	85F	38E	16F
38G	85G	38F	16G
