#Unit:Inches
SizeLetter	XS	S	S	M	M	L	L	XL	XL	XXL	XXL	XXXL	XXXL
SizeId	-120	-100	-80	-60	-40	-20	0	20	40	60	80	100	120
UK	6	8	10	12	14	16	18	20	22	24	26	28	30
Waist	25	26	27	29	31	33	35	37	40	42	44	47	49
Hips	35	35	37	39	41	43	45	47	50	52	54	57	59
Austria	32	34	36	38	40	42	44	46	48	50	52	54	56
Switzerland	32	34	36	38	40	42	44	46	48	50	52	54	56
Germany	32	34	36	38	40	42	44	46	48	50	52	54	56
Netherlands	32	34	36	38	40	42	44	46	48	50	52	54	56
Sweden	32	34	36	38	40	42	44	46	48	50	52	54	56
Belgium	34	36	38	40	42	44	46	48	50	52	54	56	58
Spain	34	36	38	40	42	44	46	48	50	52	54	56	58
France	34	36	38	40	42	44	46	48	50	52	54	56	58
Portugal	34	36	38	40	42	44	46	48	50	52	54	56	58
Italy	38	40	42	44	46	48	50	52	54	56	58	60	62
