US	5	5.5	6	6.5	7	7.5	8	8.5	9	9.5	10	10.5
Global	5	5.5	6	6.5	7	7.5	8	8.5	9	9.5	10	10.5
SizeId	-120	-100	-80	-60	-40	-20	0	20	40	60	80	100
AUs	2.5	2.5	3.5	4	4.5	5	5.5	6	6.5	7	7.5	8
UK	2.5	3	3.5	4	4.5	5	5.5	6	6.5	7	7.5	8
EU	35	35.5	35.5	37	37.5	38	39	39.5	40	40.5	41	42
HongKong	35	35.5	35.5	37	37.5	38	39	39.5	40	40.5	41	42
Canada	5	5.5	5.5	6.5	7	7.5	8	8.5	9	9.5	10	10.5
Isreal	35	35.5	35.5	37	37.5	38	39	39.5	40	40.5	41	42
Brazil	33	34	34	35	36	37	37	38	39	40	40	41
Japan	22	22.5	23	23	24	24.5	25	25.5	26	26.5	27	27.5
KORea	22	22.5	23	23	24	24.5	25	25.5	26	26.5	27	27.5
Mexico	22	22.5	23	23.5	24	24.5	25	25.5	26	26.5	27	27.5
FootLength	22	22.5	23	23.5	24	24.5	25	25.5	26	26.5	27	27.5
