#Unit:Inch
SIZE	XXS	XS	XS	S	S	M	M	L	L	XL	XXL
SizeId	-100	-80	-60	-40	-20	0	20	40	60	80	100
US	00	0	2	4	6	8	10	12	14	16	18
FRANCE	30	32	34	36	38	40	42	44	46	48	50
ITALY	34	36	38	40	42	44	46	48	50	52	54
JAPAN	3	5	7	9	11	13	15	17	19	21	23
UK	2	4	6	8	10	12	14	16	18	20	22
IRELAND	2	4	6	8	10	12	14	16	18	20	22
AUS	2	4	6	8	10	12	14	16	18	20	22
NEWZEALAND	2	4	6	8	10	12	14	16	18	20	22
GERMANY	28	30	32	34	36	38	40	42	44	46	48
AUSTRIA	28	30	32	34	36	38	40	42	44	46	48
NETHERLANDS	28	30	32	34	36	38	40	42	44	46	48
Norway	28	30	32	34	36	38	40	42	44	46	48
Finland	28	30	32	34	36	38	40	42	44	46	48
Denmark	28	30	32	34	36	38	40	42	44	46	48
Sweden	28	30	32	34	36	38	40	42	44	46	48
BUST	31	32	33	34	35	36	37	38.5	40	43.5	45.5
SLEEVE	29.75	30	30.25	30.5	30.75	31	31.25	31.6	32	32.3	32.75
WAIST	23.5	24.5	25.5	26.5	27.5	28.5	29.5	31	32.5	34	34
