Germany	32	34	36	38	40	42	44	46
Europe	32	34	36	38	40	42	44	46
Global	32	34	36	38	40	42	44	46
SizeId	-80	-60	-40	-20	0	20	40	60
Switzerland	32	34	36	38	40	42	44	46
Austria	32	34	36	38	40	42	44	46
Belgium	32	34	36	38	40	42	44	46
UK	4	6	8	10	12	14	16	18
ITALY	36	38	40	42	44	46	48	50
FRANCE	34	36	38	40	42	44	46	48
US	0	2	4	6	8	10	12	14
BUST	78	82	86	90	94	98	102	106
WAIST	60	64	68	72	76	80	84	88
HIP	86	90	94	98	102	106	110	114
SLEEVE	78	78.5	79	79.5	80	80.5	81	81.5
INSIDELEG	85	85	85	85	85	85	85	85
