EUROPE	24	25	26	27	28	29	44	46	48	50	52	54	56	58	60	62	90	94	98	102	106	110	114
Global	24	25	26	27	28	29	44	46	48	50	52	54	56	58	60	62	90	94	98	102	106	110	114
SizeId	-220	-200	-180	-160	-140	-120	-100	-80	-60	-40	-20	0	20	40	60	80	100	120	140	160	180	200	220
USA	38E	40E	42E	44E	46E	48E	34R	36R	38R	40R	42R	44R	46R	48R	50R	52R	36L	38L	40L	42L	44L	46L	48L
CHEST	98	102	106	110	114	118	90	94	98	102	106	110	114	118	122	127	92	96	100	104	108	112	116
WAIST	92	96	100	104	108	112	78	82	86	90	94	98	102	106	110	115	80	84	88	92	96	100	104
HIP	103	107	111	115	119	123	93	97	101	105	109	113	117	121	125	130	95	99	103	107	111	115	119
SLEEVE	82.5	84.5	86.4	87.9	89.3	90.8	81.1	83	85	87	88.9	90.9	91.8	93.3	94.7	95.1	86	88	90	91.8	93.3	94.8	96.3
INSIDELEG	79	80	81	82	83	83	80	81	82	83	84	85	86	86	87	87	85	86	88	89	90	91	92
HEIGHT	173	176	179	181	183	184	176	178	180	182	184	186	188	189	190	191	180	183	186	189	191	193	195
