UK	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315
SizeId	-160	-140	-120	-100	-80	-60	-40	-20	0	20	40	60	80	100	120	140
EU	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315
Aus	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315
NewZealand	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315
China	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315
Japan	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315
Korea	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315
Lebanon	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315
Canada	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315
US	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315
Argentina	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315
Chile	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315
FootLength	24	24.5	25	25.5	26	26.5	27	27.5	28	28.5	29	29.5	30	30.5	31	31.5
