SizeLetter	XXS	XS	XS	S	S	M	M	L	L	XL	XXL
SizeId	-100	-80	-60	-40	-20	0	20	40	60	80	100
US	00	0	2	4	6	8	10	12	14	16	18
UK	2	4	6	8	10	12	14	16	18	20	22
IRELAND	2	4	6	8	10	12	14	16	18	20	22
AUS	2	4	6	8	10	12	14	16	18	20	22
FRANCE	30	32	34	36	38	40	42	44	46	48	50
ITALY	34	36	38	40	42	44	46	48	50	52	54
GERMANY	28	30	32	34	36	38	40	42	44	46	48
Eu	28	30	32	34	36	38	40	42	44	46	48
AUSTRIA	28	30	32	34	36	38	40	42	44	46	48
NETHERLANDS	28	30	32	34	36	38	40	42	44	46	48
Sweden	28	30	32	34	36	38	40	42	44	46	48
Finland	28	30	32	34	36	38	40	42	44	46	48
Norway	28	30	32	34	36	38	40	42	44	46	48
Denmark	28	30	32	34	36	38	40	42	44	46	48
JAPAN	3	5	7	9	11	13	15	17	19	21	23
BUST	78.5	81.5	84	86.5	89	91.5	94	98	101.5	105.5	110.5
WAIST	59.5	62	65	67.5	70	72.5	75	78.5	82.5	86.5	91.5
SLEEVE	75.5	76	77	77.5	78	78.5	79.5	80.5	81.5	82.5	83
