SizeLetter	XS	XS	S	S	M	M	L	L	XL	XL	XXL	XXL
SizeId	-120	-100	-80	-60	-40	-20	0	20	40	60	80	100
Global												
US	0	2	4	6	8	10	12	14	16	18	20	22
China	150	76A	155	80A	160	84A	165	88A	170	92A	175	96A
Austria	32	34	36	38	40	42	44	46	48	50	52	54
EU	32	34	36	38	40	42	44	46	48	50	52	54
CZ	32	34	36	38	40	42	44	46	48	50	52	54
Denmark	32	34	36	38	40	42	44	46	48	50	52	54
Finland	32	34	36	38	40	42	44	46	48	50	52	54
Germany	32	34	36	38	40	42	44	46	48	50	52	54
Greece	32	34	36	38	40	42	44	46	48	50	52	54
Hungary	32	34	36	38	40	42	44	46	48	50	52	54
Netherlands	32	34	36	38	40	42	44	46	48	50	52	54
Slovenia	32	34	36	38	40	42	44	46	48	50	52	54
Poland	32	34	36	38	40	42	44	46	48	50	52	54
Sweden	32	34	36	38	40	42	44	46	48	50	52	54
Belgium	34	36	38	40	42	44	46	48	50	52	54	56
Spain	34	36	38	40	42	44	46	48	50	52	54	56
France	34	36	38	40	42	44	46	48	50	52	54	56
Portugal	34	36	38	40	42	44	46	48	50	52	54	56
Luxembourg	34	36	38	40	42	44	46	48	50	52	54	56
Italy	36	38	40	42	44	46	48	50	52	54	56	58
Ireland	4	6	8	10	12	14	16	18	20	22	24	26
Chest	76	83	83	90	90	97	97	104	104	114	114	124
Waist	60	67	67	74	74	81	81	88	88	98	98	108
Hip	84	91	91	98	98	105	105	112	112	120	120	128
