SizeLetter	XS	XS	S	S	M	M	L	L	XL	XL	XXL	XXL
SizeId	-120	-100	-80	-60	-40	-20	0	20	40	60	80	100
Global												
EU	32	34	36	38	40	42	44	46	48	50	52	54
Austria	32	34	36	38	40	42	44	46	48	50	52	54
Belgium	34	36	38	40	42	44	46	48	50	52	54	56
France	34	36	38	40	42	44	46	48	50	52	54	56
Luxembourg	34	36	38	40	42	44	46	48	50	52	54	56
Portugal	34	36	38	40	42	44	46	48	50	52	54	56
Spain	34	36	38	40	42	44	46	48	50	52	54	56
Italy	36	38	40	42	44	46	48	50	52	54	56	58
China	150	58A	155	62A	160	66A	165	70A	170	74A	175	78A
UK	4	6	8	10	12	14	16	18	20	22	24	26
Ireland	4	6	8	10	12	14	16	18	20	22	24	26
Waist	60	67	67	74	74	81	81	88	88	98	98	108
Hip	84	91	91	98	98	105	105	112	112	120	120	128
