SizeLetter	S	M	L	XL	XXL	XXXL
SizeId	-60	-40	-20	0	20	40
Global						
Austria	44-46	48-50	52-54	56-58	60-62	64-66
EU	44-46	48-50	52-54	56-58	60-62	64-66
Belgium	46-48	50-52	54-56	60-62	62-64	66-68
France	46-48	50-52	54-56	60-62	62-64	66-68
Luxembourg	46-48	50-52	54-56	60-62	62-64	66-68
Portugal	46-48	50-52	54-56	60-62	62-64	66-68
Spain	46-48	50-52	54-56	60-62	62-64	66-68
China	165-84A	170-88A	175-92A	180-96A	185-100A	190-104A
Ireland	34-36	38-40	42-44	46-48	50-52	54-56
UK	34-36	38-40	42-44	46-48	50-52	54-56
Italy	46-48	50-52	54-56	60-62	62-64	66-68
CHEST	88-96	96-104	104-112	112-124	124-136	136-148
WAIST	73-81	81-89	89-97	97-109	109-121	121-133
HIP	88-96	96-104	104-112	112-120	120-128	128-136
