SizeLetter	S	S	M	M	L	L	XL	XL	XXL		XXXL	
SizeId	-120	-100	-80	-60	-40	-20	0	20	40	60	80	100
Global												
US	29	32	32	35	35	38	38	43	43	47.5	47.5	52.5
EU	40	42	44	46	48	50	52	54	56	58	60	62
Belgium	42	44	46	48	50	52	54	56	58	60	62	64
France	42	44	46	48	50	52	54	56	58	60	62	64
Portugal	42	44	46	48	50	52	54	56	58	60	62	64
Spain	42	44	46	48	50	52	54	56	58	60	62	64
Italy	42	44	46	48	50	52	54	56	58	60	62	64
China	165	72A	170	76A	175	80A	180	84A	185	88A	190	92A
UK	26	28	30	32	34	36	38	40	42	44	46	48
Ireland	26	28	30	32	34	36	38	40	42	44	46	48
Waist	73	81	81	89	89	97	97	109	109	121	121	133
Hips	88	96	96	104	104	112	112	120	120	128	128	136

