#Unit:Inch
SizeLetter	XXS	XXS,XS	XS,S	S	M	M,L	L	XL	XL	XXL	XXL	XXXL	XXXL	XXXXL
SizeId	-140	-120	-100	-80	-60	-40	-20	0	20	40	60	80	100	120
Waist	26	28	30	32	33	34	36	38	40	42	44	46	48	50
UK	26	28	30	32	33	34	36	38	40	42	44	46	48	50
Austria	40	42	44	46	48	50	52	54	56	58	60	62	64	66
Switzerland	40	42	44	46	48	50	52	54	56	58	60	62	64	66
Germany	40	42	44	46	48	50	52	54	56	58	60	62	64	66
Netherlands	40	42	44	46	48	50	52	54	56	58	60	62	64	66
Sweden	40	42	44	46	48	50	52	54	56	58	60	62	64	66
Italy	40	42	44	46	48	50	52	54	56	58	60	62	64	66
Belgium	34	36	38	40	42	44	46	48	50	52	54	56	58	60
Spain	34	36	38	40	42	44	46	48	50	52	54	56	58	60
France	34	36	38	40	42	44	46	48	50	52	54	56	58	60
Portugal	34	36	38	40	42	44	46	48	50	52	54	56	58	60
