US	25.5	26.5	27.5	28.5	29.5
SizeId	-40	-20	0	20	40
EU	25.5	26.5	27.5	28.5	29.5
France	25.5	26.5	27.5	28.5	29.5
Global	25.5	26.5	27.5	28.5	29.5
Germany	25.5	26.5	27.5	28.5	29.5
Switzerland	25.5	26.5	27.5	28.5	29.5
Italy	25.5	26.5	27.5	28.5	29.5
UK	25.5	26.5	27.5	28.5	29.5
Canada	25.5	26.5	27.5	28.5	29.5
Argentina	25.5	26.5	27.5	28.5	29.5
Chile	25.5	26.5	27.5	28.5	29.5
Korea	25.5	26.5	27.5	28.5	29.5
Lebanon	25.5	26.5	27.5	28.5	29.5
China	25.5	26.5	27.5	28.5	29.5
Japan	25.5	26.5	27.5	28.5	29.5
Aus	25.5	26.5	27.5	28.5	29.5
NewZealand	25.5	26.5	27.5	28.5	29.5
FootLength	25.5	26.5	27.5	28.5	29.5
