SizeLetter	S	S	M	M	L	L	XL	XL,XXL	XXL
SizeId	-80	-60	-40	-20	0	20	40	60	80
UK	15	15.5	16	16.5	17	17.5	18	19	20
EU	15	15.5	16	16.5	17	17.5	18	19	20
Singapore	15	15.5	16	16.5	17	17.5	18	19	20
Aus	15	15.5	16	16.5	17	17.5	18	19	20
Malaysia	15	15.5	16	16.5	17	17.5	18	19	20
COLLAR	38.1	39.4	40.6	41.9	43.2	44.5	45.7	48.3	50.8
SLEEVE	83.8-86.4	83.8-91.4	83.8-91.4	83.8-96.5	87.6-96.5	87.6-96.5	91.4-96.5	91.4-96.5	96.5
CHEST	114.9	120.0	124.5	130.2	134.6	140.3	145.4	155.6	155.6
WAIST	107.3	112.4	116.8	122.6	127.0	132.7	137.8	147.3	147.3
