US	28	29	30	31	32	33	34	36	38
SizeId	-80	-60	-40	-20	0	20	40	60	80
Canada	28	29	30	31	32	33	34	36	38
UK	28	29	30	31	32	33	34	36	38
HongKong	28	29	30	31	32	33	34	36	38
France	39	40	41	42	43	44	45	47	48
Germany	39	40	41	42	43	44	45	47	48
Italy	44	45	46	47	48	49	50	52	54
Russia	36	37	38	39	41	42	43	46	48
Europe	71	74	76	79	81	84	86	91	97
Brazil	71	74	76	79	81	84	86	91	97
Japan	71	74	76	79	81	84	86	91	97
US	28	29	30	31	33	33	34	36	38
Waist	71.1	73.7	76.2	78.7	81.3	83.8	86.4	91.4	96.5
Hips	86.4	88.9	91.4	94.0	96.5	99.1	101.6	106.7	111.8
