#Unit:Inch
SizeLetter	XS	S	M	L
SizeId	-40	-20	0	20
UK	2	4-6	8-10	12-14
HongKong	2	4-6	8-10	12-14
Australia	4	6-8	10-12	14-16
NewZealand	4	6-8	10-12	14-16
Germany	28	30-32	34-36	38-40
Austria	28	30-32	34-36	38-40
Switzerland	28	30-32	34-36	38-40
Netherlands	28	30-32	34-36	38-40
Sweden	28	30-32	34-36	38-40
Belgium	28	30-32	34-36	38-40
Spain	30	32-34	36-38	40-42
Portugal	30	32-34	36-38	40-42
Denmark	30	32-34	36-38	40-42
Isreal	30	32-34	36-38	40-42
France	32	34-36	38-40	42-44
Italy	34	36-38	40-42	44-46
Russia	38	40-42	44-46	48-50
Japan	3	5-7	9-11	13-15
US	0	2-4	6-8	10-12
Canada	0	2-4	6-8	10-12
Chest	32-33	34-35	36-37	38-39.5
Waist	24-25	26-27	28-29	30-31.5
Hips	34-35	36-37	38-39	40-41.5

